run_id,model,seed,warmup_ratio,lr_scheduler,label_smoothing,test_token_f1,test_entity_f1,test_per_f1,test_loc_f1,test_org_f1,train_time_min
smoke_test_seed88,distilbert-base-cased,88,0.0,linear,0.0,0.9518176135364594,0.41780272654370487,0.23595505617977527,0.4569420035149385,0.4716031631919483,0.39422345129999786
phase_b_teacher_seed88,roberta-large,88,0.0,linear,0.0,0.9852512742042786,0.8468317247167436,0.9430604982206405,0.862681744749596,0.7936772046589018,40.88926113915
phase_b_teacher_seed5768,roberta-large,5768,0.0,linear,0.0,0.9852264162898072,0.8509905254091301,0.9562171628721542,0.8443708609271523,0.8020924149956408,47.71548305541668
phase_b_teacher_seed78516,roberta-large,78516,0.0,linear,0.0,0.9850035751555047,0.8475298126064736,0.9560632688927944,0.8543999999999999,0.7902946273830155,33.872921965516674
teacher_crf_seed88,roberta-large,88,0.0,linear,0.0,0.9853064741171329,0.8540268456375839,0.9616724738675957,0.8530805687203792,0.8020390824129142,24.390562066183335
teacher_crf_seed5768,roberta-large,5768,0.0,linear,0.0,0.9855167844822644,0.8504870817450233,0.9480968858131489,0.8543999999999999,0.7996545768566494,20.16357187665
teacher_crf_seed78516,roberta-large,78516,0.0,linear,0.0,0.9851863439325084,0.8518828451882845,0.9495652173913044,0.8454258675078864,0.8077900084674005,22.90075472036667
efficient_training_seed88,roberta-large,88,0.1,cosine,0.0,0.9857034975482905,0.8466722830665544,0.9458987783595114,0.8484848484848486,0.797274275979557,7.3151612297
efficient_training_seed5768,roberta-large,5768,0.1,cosine,0.0,0.9854138410629364,0.8424140821458509,0.9352014010507881,0.8399366085578447,0.7989864864864865,7.308268447233335
efficient_training_seed78516,roberta-large,78516,0.1,cosine,0.0,0.9860737259747835,0.8553353015605231,0.9565217391304348,0.8462757527733756,0.8103004291845494,7.306039997966665
deberta_efficient_seed88_seed88,microsoft/deberta-v3-large,88,0.1,cosine,0.0,0.9830655788849945,0.8359966358284272,0.9387040280210158,0.8412698412698413,0.7833474936278675,8.209121597700001
deberta_efficient_seed5768_seed5768,microsoft/deberta-v3-large,5768,0.1,cosine,0.0,0.9837368775889358,0.8394129979035639,0.9403508771929825,0.8399366085578447,0.7905405405405406,8.169543660266664
deberta_efficient_seed78516_seed78516,microsoft/deberta-v3-large,78516,0.1,cosine,0.0,0.9833995837237216,0.8368554522400677,0.9389179755671901,0.8309178743961353,0.7901023890784984,8.188014922783328
teacher_crf_vote_ensemble,ensemble,,,,,0.9861428094253066,0.8567818028643639,0.9530434782608695,0.8539682539682538,0.8109495295124037,
efficient_training_vote_ensemble,ensemble,,,,,0.9864539178888689,0.8551028979420412,0.9547038327526133,0.8462757527733756,0.8112244897959183,
