experiment_id,model,seed,config_hash,train_f1_val,test_entity_f1,test_per_f1,test_loc_f1,test_org_f1,params,train_time_min,notes
deberta_efficient_align_off_seed78516,microsoft/deberta-v3-large,78516,bdf158ccaba9,0.9118136439267887,0.8362398979157806,0.9345132743362833,0.8290322580645161,0.7924528301886793,434019335,8.528726773983331,"deberta_efficient_align_off | tags=phase-2,ablation,efficient-training,5-epoch,deberta-v3-large,align-off"
efficient_after_dapt_seed88,./results/dapt_roberta-large/checkpoint-final,88,baee8b1082d9,0.9150326797385621,0.8542797494780794,0.951048951048951,0.8608,0.8046744574290485,355366982,7.194821916949999,"efficient_after_dapt | crf | tags=phase-3,efficient-after-dapt,5-epoch,crf,roberta-large"
efficient_after_dapt_seed5768,./results/dapt_roberta-large/checkpoint-final,5768,fbda201b2c7a,0.9289256198347106,0.8514022603599833,0.9307958477508651,0.8543999999999999,0.8111298482293423,355366982,7.210432900366656,"efficient_after_dapt | crf | tags=phase-3,efficient-after-dapt,5-epoch,crf,roberta-large"
efficient_after_dapt_seed78516,./results/dapt_roberta-large/checkpoint-final,78516,f7fd5cc3b5a2,0.9187396351575455,0.858843537414966,0.9457092819614712,0.8654781199351702,0.8127147766323023,355366982,7.234856352016656,"efficient_after_dapt | crf | tags=phase-3,efficient-after-dapt,5-epoch,crf,roberta-large"
efficient_after_dapt_logit_ensemble,ensemble,88,ensemble_logit,,0.8633879781420765,0.956369982547993,0.858974358974359,0.8206429780033841,,,"ensemble | mode=logit | use_crf=True | runs=efficient_after_dapt_seed88,efficient_after_dapt_seed5768,efficient_after_dapt_seed78516"
efficient_after_dapt_vote_ensemble,ensemble,88,ensemble_vote,,0.8587002096436059,0.9493891797556719,0.858974358974359,0.8148148148148148,,,"ensemble | mode=vote | use_crf=False | runs=efficient_after_dapt_seed88,efficient_after_dapt_seed5768,efficient_after_dapt_seed78516"
efficient_after_dapt_seed88,./results/dapt_roberta-large/checkpoint-final,88,88919c4a73c2,0.9150326797385621,0.8542797494780794,0.951048951048951,0.8608,0.8046744574290485,355366982,6.8365125518999985,"efficient_after_dapt | crf | tags=phase-3,efficient-after-dapt,5-epoch,crf,roberta-large"
efficient_after_dapt_seed5768,./results/dapt_roberta-large/checkpoint-final,5768,a2e581c28d97,0.9289256198347106,0.8514022603599833,0.9307958477508651,0.8543999999999999,0.8111298482293423,355366982,6.741237096249999,"efficient_after_dapt | crf | tags=phase-3,efficient-after-dapt,5-epoch,crf,roberta-large"
efficient_after_dapt_seed78516,./results/dapt_roberta-large/checkpoint-final,78516,d74743b6b49d,0.9187396351575455,0.858843537414966,0.9457092819614712,0.8654781199351702,0.8127147766323023,355366982,6.870899161149998,"efficient_after_dapt | crf | tags=phase-3,efficient-after-dapt,5-epoch,crf,roberta-large"
efficient_after_dapt_logit_ensemble,ensemble,88,ensemble_logit,,0.8633879781420765,0.956369982547993,0.858974358974359,0.8206429780033841,,,"ensemble | mode=logit | use_crf=True | runs=efficient_after_dapt_seed88,efficient_after_dapt_seed5768,efficient_after_dapt_seed78516"
